Name,Genre,Developer,dev_link,rating,total,five,four,three,two,one
Train Tracks Construction 2018,Simulation,Coding Squares,https://play.google.com/store/apps/dev?id=6609243090034600037,4.4,82,9,2,1,6,64
Full HD Video Player,Video Players & Editors,Video Player & Music Player,https://play.google.com/store/apps/developer?id=Video+Player+%26+Music+Player,4.7,66,2,0,3,7,54
Mobile Number Location Tracker,Tools,Andro App Zone,https://play.google.com/store/apps/developer?id=Andro+App+Zone,4.2,24,3,0,4,0,17
"MMX Hill Dash 2 – Offroad Truck, Car & Bike Racing",Racing,Hutch Games,https://play.google.com/store/apps/dev?id=8812293306013257434,4.4,24240,1799,520,1386,3751,16784
Wood Block Puzzle 3D,Puzzle,TAP GAMES,https://play.google.com/store/apps/developer?id=TAP+GAMES,4.6,353,5,4,22,61,261
FPS Shooting Master,Action,Infinity Gunfighter,https://play.google.com/store/apps/developer?id=Infinity+Gunfighter,4.6,297,15,0,21,18,243
Solitaire - Klondike Solitaire,Card,UK Solitaire Card Games,https://play.google.com/store/apps/developer?id=UK+Solitaire+Card+Games,4.7,239,6,4,12,20,197
Nomao Camera Xray App,Entertainment,Xray App Studio,https://play.google.com/store/apps/developer?id=Xray+App+Studio,4.1,51,10,1,1,2,37
Multiple Accounts - 64Bit Plugin,Tools,Excelliance Tech,https://play.google.com/store/apps/developer?id=Excelliance+Tech,4.4,129,13,2,6,11,97
Hitman Shooter,Arcade,Cookie Crush Games,https://play.google.com/store/apps/dev?id=7236897623184980796,4.6,94,1,1,7,17,68
House Construction Simulator 3D,Simulation,BAYONET (Pvt) Ltd,https://play.google.com/store/apps/developer?id=BAYONET+%28Pvt%29+Ltd,4.4,120,7,1,13,12,87
Brain Physics Truck,Casual,ScorpionStudio,https://play.google.com/store/apps/developer?id=ScorpionStudio,3.5,595,171,16,59,36,313
Offroad Moto Bike Racing Games,Simulation,UniBit,https://play.google.com/store/apps/developer?id=UniBit,4.2,398,49,11,28,38,272
Free  Airtel TV Live &  Movies HD Tips,Books & Reference,bit feyt bot,https://play.google.com/store/apps/developer?id=bit+feyt+bot,4.4,46,4,0,3,5,34
Birthday Song With Name : Birthday Songs,Tools,Manya App Studio,https://play.google.com/store/apps/developer?id=Manya+App+Studio,3.7,39,8,3,3,5,20
Stunt Car Racing Simulator: Free Car Games 2018,Simulation,Desire PK,https://play.google.com/store/apps/dev?id=4687045479860634476,4.3,175,20,7,6,14,128
Ultimate King Fighter: Death Match 2,Action,Action Adventure Gameplay Studios,https://play.google.com/store/apps/developer?id=Action+Adventure+Gameplay+Studios,4.4,47,5,1,0,6,35
Like4like pro,Social,Dominatorhouse,https://play.google.com/store/apps/developer?id=Dominatorhouse,4.5,616,40,8,29,47,492
High Speed Extreme  Bike Race Game: Space Heroes,Racing,Tiny Lab Games,https://play.google.com/store/apps/dev?id=5276432544756442683,4.4,45,3,2,1,5,34
Smash Bubbles,Casual,Match 3 Fun Games,https://play.google.com/store/apps/dev?id=6248802720099859869,4.5,58,1,1,6,11,39
Guide For Xender File Transfer & Share,Books & Reference,sementic,https://play.google.com/store/apps/developer?id=sementic,4.5,34,3,1,0,3,27
